province,district,municipality,type,website,email,phone
कोशी प्रदेश,पाँचथर,मिक्लाजुङ गाउँपालिका,Rural Municipality,http://miklajungmunpanchthar.gov.np,info@miklajungmunpanchthar.gov.np,"024-412115,"
कोशी प्रदेश,पाँचथर,याङवरक गाउँपालिका,Rural Municipality,http://yangwarakmunpanchthar.gov.np,info@yangwarakmunpanchthar.gov.np,024-410049
कोशी प्रदेश,पाँचथर,हिलिहाङ गाउँपालिका,Rural Municipality,http://hilihangmun.gov.np,info@hilihangmun.gov.np,9843697622
कोशी प्रदेश,इलाम,चुलाचुली गाउँपालिका,Rural Municipality,http://chulachulimun.gov.np,chulachuli.ruralmunicipality@gmail.com,9746872425
कोशी प्रदेश,इलाम,सन्दकपुर गाउँपालिका,Rural Municipality,http://sandakpurmun.gov.np,sandakpurrm@gmail.com,9801451741
कोशी प्रदेश,इलाम,रोङ गाउँपालिका,Rural Municipality,http://rongmun.gov.np,info@rongmun.gov.np,9852042020
कोशी प्रदेश,इलाम,माङसेबुङ गाउँपालिका,Rural Municipality,http://mansebungmun.gov.np,mangsebung.ruralmun@gmail.com,9852685445
कोशी प्रदेश,इलाम,माईजोगमाई गाउँपालिका,Rural Municipality,http://maijogmaimun.gov.np,info@maijogmaimun.gov.np,027-411044
कोशी प्रदेश,इलाम,फाकफोकथुम गाउँपालिका,Rural Municipality,http://phakphokthummun.gov.np,phakphokthum.ruralmunicipality@gmail.com,०२७६९१४११
कोशी प्रदेश,झापा,कचनकवल गाउँपालिका,Rural Municipality,http://kachankawalmun.gov.np,kachankawala@gmail.com,9852655210
कोशी प्रदेश,झापा,कमल गाउँपालिका,Rural Municipality,http://kamalmun.gov.np,info@kamalmun.gov.np,023-475081
कोशी प्रदेश,झापा,गौरीगञ्‍ज गाउँपालिका,Rural Municipality,http://gaurigunjmun.gov.np,info@gaurigunjmun.gov.np,023-412044
कोशी प्रदेश,झापा,झापा गाउँपालिका,Rural Municipality,http://jhapamun.gov.np,info@jhapamun.gov.np,9852630900
कोशी प्रदेश,झापा,बाह्रदशी गाउँपालिका,Rural Municipality,http://bahradashimun.gov.np,bahradashirm@gmail.com,9824002677
कोशी प्रदेश,झापा,बुद्धशान्ति गाउँपालिका,Rural Municipality,http://buddhashantimun.gov.np,buddhashantimun@gmail.com,023-555044
कोशी प्रदेश,झापा,हल्दिबारी गाउँपालिका,Rural Municipality,http://haldibarimun.gov.np,haldibariruralmunicipality123@gmail.com,9818957218
कोशी प्रदेश,संखुवासभा,चिचिला गाउँपालिका,Rural Municipality,http://chichilamun.gov.np,info@chichilamun.gov.np,021-620770
कोशी प्रदेश,संखुवासभा,भोटखोला गाउँपालिका,Rural Municipality,http://bhotkholamun.gov.np,bhotkholamun@gmail.com,9852086530
कोशी प्रदेश,संखुवासभा,मकालु गाउँपालिका,Rural Municipality,http://makalumun.gov.np,gaupalikamakalu@gmail.com,9752006670
कोशी प्रदेश,संखुवासभा,सभापोखरी गाउँपालिका,Rural Municipality,http://savapokharimun.gov.np,savapokharimun@gmail.com,029-413090
कोशी प्रदेश,संखुवासभा,सिलीचोङ गाउँपालिका,Rural Municipality,http://silichongmun.gov.np,silichonggp74@gmail.com,9752006775
कोशी प्रदेश,तेह्रथुम,फेदाप गाउँपालिका,Rural Municipality,http://phedapmun.gov.np,info@phedapmun.gov.np,9852080600
कोशी प्रदेश,तेह्रथुम,मेन्छयायेम गाउँपालिका,Rural Municipality,http://menchhayayemmun.gov.np,info@menchhayayemmun.gov.np,9852082777
कोशी प्रदेश,तेह्रथुम,छथर गाउँपालिका,Rural Municipality,http://chhatharmun.gov.np,chhathargaupalika@gmail.com,026420099
कोशी प्रदेश,तेह्रथुम,आठराई गाउँपालिका,Rural Municipality,http://aathraimun.gov.np,aathraigaupalika1@gmail.com,9852684324
कोशी प्रदेश,भोजपुर,अरुण गाउँपालिका,Rural Municipality,http://arunmun.gov.np,info@arunmun.gov.np,9860604650
कोशी प्रदेश,भोजपुर,आमचोक गाउँपालिका,Rural Municipality,http://aamchowkmun.gov.np,info@aamchowkmun.gov.np,9852081336
कोशी प्रदेश,भोजपुर,टेम्केमैयुङ गाउँपालिका,Rural Municipality,http://tyamkemaiyummun.gov.np,temkemunbhp@gmail.com,9852052995
कोशी प्रदेश,भोजपुर,पौवादुङ्मा गाउँपालिका,Rural Municipality,http://pauwadungmamun.gov.np,info@pauwadungmamun.gov.np,9852075800
कोशी प्रदेश,भोजपुर,रामप्रसाद राई गाउँपालिका,Rural Municipality,http://ramprasadraimun.gov.np,ramprasadrai.rm@gmail.com,"9852073886,"
कोशी प्रदेश,भोजपुर,साल्पासिलिछो गाउँपालिका,Rural Municipality,http://salpasilichhomun.gov.np,salpasilichhoruralmunicipality@gmail.com,9818425952
कोशी प्रदेश,भोजपुर,हतुवागढी गाउँपालिका,Rural Municipality,http://hatuwagadhimun.gov.np,ito.hatuwagadhimun@gmail.com,029-412026
कोशी प्रदेश,धनकुटा,सहिदभुमि गाउँपालिका,Rural Municipality,https://sahidbhumimun.gov.np,sahidbhumirural@gmail.com,9842080705
कोशी प्रदेश,धनकुटा,साँगुरीगढी गाउँपालिका,Rural Municipality,http://sangurigadhimun.gov.np,sangurigadhi.ruralmundkt@gmail.com,025-400086
कोशी प्रदेश,धनकुटा,चौबिसे गाउँपालिका,Rural Municipality,http://choubisemun.gov.np,chaubisegapa@gmail.com,026-411031
कोशी प्रदेश,सुनसरी,कोशी गाउँपालिका,Rural Municipality,http://koshimun.gov.np,koshigaupalika@gmail.com,025-401066
कोशी प्रदेश,सुनसरी,गढी गाउँपालिका,Rural Municipality,http://gadhimun.gov.np,ito.gadhiruralmuncipality@gmail.com,0
कोशी प्रदेश,सुनसरी,देवानगञ्ज गाउँपालिका,Rural Municipality,http://dewanganjmun.gov.np,dewanganjmun@gmail.com,9816387576
कोशी प्रदेश,सुनसरी,बर्जु गाउँपालिका,Rural Municipality,http://barjumun.gov.np,info@barjumun.gov.np,9852070720
कोशी प्रदेश,सुनसरी,भोक्राहा नरसिंह गाउँपालिका,Rural Municipality,http://bhokrahamun.gov.np,bhokrahanarsingh.gapa@gmail.com,9852041377
कोशी प्रदेश,सुनसरी,हरिनगर गाउँपालिका,Rural Municipality,http://harinagaramun.gov.np,harinagargapa@gmail.com,9852038096
कोशी प्रदेश,मोरङ,कटहरी गाउँपालिका,Rural Municipality,http://kataharimun.gov.np,kataharigaupalika@gmail.com,021-404100
कोशी प्रदेश,मोरङ,कानेपोखरी गाउँपालिका,Rural Municipality,http://kanepokharimun.gov.np,kanepokharirmun@gmail.com,021-585155
कोशी प्रदेश,मोरङ,मिक्लाजुङ गाउँपालिका,Rural Municipality,http://miklajungmunmorang.gov.np,miklajungrmun@gmail.com,021-400001
कोशी प्रदेश,मोरङ,जहदा गाउँपालिका,Rural Municipality,http://jahadamun.gov.np,jahadagaupalika@gmail.com,9805308109
कोशी प्रदेश,मोरङ,धनपालथान गाउँपालिका,Rural Municipality,http://dhanapalthanmun.gov.np,info@dhanapalthanmun.gov.np,021-565122
कोशी प्रदेश,मोरङ,बुढीगंगा गाउँपालिका,Rural Municipality,http://budhigangamunmorang.gov.np,buddhigangamun@gmail.com,9851043855
कोशी प्रदेश,मोरङ,ग्रामथान गाउँपालिका,Rural Municipality,http://gramthanmun.gov.np,info@gramthanmun.gov.np,9800968877
कोशी प्रदेश,सोलुखुम्बु,लिखु पिके गाउँपालिका,Rural Municipality,http://likhupikemun.gov.np,info@likhupikemun.gov.np,9852882600
कोशी प्रदेश,सोलुखुम्बु,सोताङ गाउँपालिका,Rural Municipality,http://sotangmun.gov.np,ito@sotangmun.gov.np,038-410124
कोशी प्रदेश,सोलुखुम्बु,माहाकुलुङ गाउँपालिका,Rural Municipality,http://mahakulungmun.gov.np,mahakulung.rum@gmail.com,9852885000
कोशी प्रदेश,सोलुखुम्बु,नेचासल्यान गाउँपालिका,Rural Municipality,http://nechasalyanmun.gov.np,nechasalyan345@gmail.com,038-412277
कोशी प्रदेश,सोलुखुम्बु,थुलुङ दुधकोशी गाउँपालिका,Rural Municipality,http://thulungdudhkoshimun.gov.np,info@thulungdudhkoshimun.gov.np,९८५२८६६१२३
कोशी प्रदेश,सोलुखुम्बु,माप्य दुधकोशी गाउँपालिका,Rural Municipality,http://mapyadudhkoshimun.gov.np,info@mapyadudhkoshimun.gov.np,9849478034
कोशी प्रदेश,सोलुखुम्बु,खुम्वु पासाङल्हामु गाउँपालिका,Rural Municipality,http://khumbupasanglhamumun.gov.np,ito.khumbupasanglhamumun@gmail.com,038-420525
कोशी प्रदेश,खोटाङ,ऐसेलुखर्क गाउँपालिका,Rural Municipality,http://aiselukharkamun.gov.np,info@aiselukharkamun.gov.np,036411103
कोशी प्रदेश,खोटाङ,केपिलासगढी गाउँपालिका,Rural Municipality,http://kepilasgadhimun.gov.np,kepilasmun@gmail.com,9849685297
कोशी प्रदेश,खोटाङ,खोटेहाङ गाउँपालिका,Rural Municipality,http://khotehangmun.gov.np,khotehangmun@gmail.com,036-413045
कोशी प्रदेश,खोटाङ,साकेला गाउँपालिका,Rural Municipality,http://sakelamun.gov.np,ito.sakelarmun@gmail.com,9843358296
कोशी प्रदेश,खोटाङ,रावा वेसी गाउँपालिका,Rural Municipality,http://rawabesimun.gov.np,info@rawabesimun.gov.np,प्र.प्र.अ.9852857111
कोशी प्रदेश,खोटाङ,वराहपोखरी गाउँपालिका,Rural Municipality,http://barahapokharimun.gov.np,info@barahapokharimun.gov.np,9852849903
कोशी प्रदेश,उदयपुर,उदयपुरगढी गाउँपालिका,Rural Municipality,http://udayapurgadhimun.gov.np,udayapurgadhirm@gmail.com,9844867979
कोशी प्रदेश,उदयपुर,ताप्ली गाउँपालिका,Rural Municipality,http://taplimun.gov.np,ict.taplimun@gmail.com,035-691336
कोशी प्रदेश,उदयपुर,रौतामाई गाउँपालिका,Rural Municipality,http://rautamaimun.gov.np,ito.rautamaimun@gmail.com,9842118673
कोशी प्रदेश,उदयपुर,लिम्चुङबुङ गाउँपालिका,Rural Municipality,http://limchungbungmun.gov.np,ito.limchunbunmun@gmail.com,9852829101
कोशी प्रदेश,ओखलढुंगा,खिजीदेम्वा गाउँपालिका,Rural Municipality,http://khijidembamun.gov.np,info@khijidembamun.gov.np,9743001361
कोशी प्रदेश,ओखलढुंगा,चम्पादेवी गाउँपालिका,Rural Municipality,http://champadevimun.gov.np,champadevirm@gmail.com,9851002969
कोशी प्रदेश,ओखलढुंगा,चिशंखुगढी गाउँपालिका,Rural Municipality,http://chishankhugadhimun.gov.np,info@chishankhugadhimun.gov.np,9852855564
कोशी प्रदेश,ओखलढुंगा,मानेभञ्याङ गाउँपालिका,Rural Municipality,http://manebhanjyangmun.gov.np,info@manebhanjyangmun.gov.np,9852820002
कोशी प्रदेश,ओखलढुंगा,मोलुङ गाउँपालिका,Rural Municipality,http://molungmun.gov.np,molungrm@gmail.com,9841328138
कोशी प्रदेश,ओखलढुंगा,लिखु गाउँपालिका,Rural Municipality,http://likhumunokhaldhunga.gov.np,info@likhumunokhaldhunga.gov.np,9852842142
कोशी प्रदेश,ओखलढुंगा,सुनकोशी गाउँपालिका,Rural Municipality,http://sunkoshimunokhaldhunga.gov.np,info@sunkoshimunokhaldhunga.gov.np,9852842203
मधेश प्रदेश,सप्तरी,कञ्चनरुप नगरपालिका,Municipality,http://kanchanrupmun.gov.np,kanchanrupmunicipality@gmail.com,031-560114
मधेश प्रदेश,सप्तरी,खडक नगरपालिका,Municipality,http://khadakmun.gov.np,info@khadakmun.gov.np,031-540054
मधेश प्रदेश,सप्तरी,डाक्नेश्वरी नगरपालिका,Municipality,http://dakneshworimun.gov.np,info@dakneshworimun.gov.np,9852822665
मधेश प्रदेश,सप्तरी,राजविराज नगरपालिका,Municipality,http://rajbirajmun.gov.np,rajbirajmunsaptari@gmail.com,031-520703
मधेश प्रदेश,सप्तरी,बोदेबरसाईन नगरपालिका,Municipality,http://bodebarsainmun.gov.np,bodebarsainmun@gmail.com,9819912600
मधेश प्रदेश,सप्तरी,शम्भुनाथ नगरपालिका,Municipality,http://shambhunathmun.gov.np,shambhunathmun@gmail.com,031-410111
मधेश प्रदेश,सप्तरी,सुरुगां नगरपालिका,Municipality,http://surungamun.gov.np,surungamun@gmail.com,9852821980
मधेश प्रदेश,सप्तरी,हनुमाननगर कंकालिनी नगरपालिका,Municipality,http://hanumannagarkankalinimun.gov.np,ito.hanumannagarkankalinimun@gmail.com,031580119
मधेश प्रदेश,सप्तरी,सप्तकोशी नगरपालिका,Municipality,http://saptakoshimun.gov.np,saptakoshimun@gmail.com,031-550019
मधेश प्रदेश,सिराहा,कर्जन्हा नगरपालिका,Municipality,http://karjanhamun.gov.np,karjanhamun@gmail.com,033-411024
मधेश प्रदेश,सिराहा,धनगढीमाई नगरपालिका,Municipality,http://dhangadhimaimun.gov.np,info@dhangadhimaimun.gov.np,033545238
मधेश प्रदेश,सिराहा,मिर्चैया नगरपालिका,Municipality,http://mirchaiyamun.gov.np,munmirchaiya272@gmail.com,033550101
मधेश प्रदेश,सिराहा,लहान नगरपालिका,Municipality,http://lahanmun.gov.np,info@lahanmun.gov.np,033-563138
मधेश प्रदेश,सिराहा,सिरहा नगरपालिका,Municipality,http://sirahamun.gov.np,sirahamun2053@gmail.com,033-520158
मधेश प्रदेश,सिराहा,सुखीपुर नगरपालिका,Municipality,http://sukhipurmun.gov.np,sukhipurnagarpalika@gmail.com,9861851800
मधेश प्रदेश,सिराहा,गोलबजार नगरपालिका,Municipality,http://golbazarmun.gov.np,info@golbazarmun.gov.np,033-540499
मधेश प्रदेश,सिराहा,कल्याणपुर नगरपालिका,Municipality,http://kalyanpurmun.gov.np,kalyanpurmun2073@gmail.com,9852834364
मधेश प्रदेश,धनुषा,मिथिला विहारी नगरपालिका,Municipality,http://mithilabiharimun.gov.np,info@mithilabiharimun.gov.np,9841663814
मधेश प्रदेश,धनुषा,कमला नगरपालिका,Municipality,http://kamalamun.gov.np,kamala.municipality@gmail.com,9854029063
मधेश प्रदेश,धनुषा,हंसपुर नगरपालिका,Municipality,http://hansapurmun.gov.np,hanspurnagarpalika@gmail.com,9854028880
मधेश प्रदेश,धनुषा,शहिदनगर नगरपालिका,Municipality,http://shahidnagarmun.gov.np,ito.shahidnagarmun@gmail.com,९८५४०२९७६९
मधेश प्रदेश,धनुषा,सबैला नगरपालिका,Municipality,http://sabailamun.gov.np,sabailamun@gmail.com,9854024281
मधेश प्रदेश,धनुषा,विदेह नगरपालिका,Municipality,http://bidehamun.gov.np,info@bidehamun.gov.np,9868023630
मधेश प्रदेश,धनुषा,मिथिला नगरपालिका,Municipality,http://mithilamun.gov.np,info@mithilamun.gov.np,041-560046
मधेश प्रदेश,धनुषा,नगराइन नगरपालिका,Municipality,http://nagrainmun.gov.np,nagarainmun@gmail.com,9854029772
मधेश प्रदेश,धनुषा,धनुषाधाम नगरपालिका,Municipality,http://dhanushadhammun.gov.np,dhanushadhammunicipality@gmail.com,041-414001
मधेश प्रदेश,धनुषा,गणेशमान–चारनाथ नगरपालिका,Municipality,http://ganeshmancharnathmun.gov.np,ganeshmancharnath@gmail.com,041-427029
मधेश प्रदेश,धनुषा,क्षिरेश्वरनाथ नगरपालिका,Municipality,http://kshireshwornathmun.gov.np,kshireshwornathmun@gmail.com,041-540077
मधेश प्रदेश,महोत्तरी,बलवा नगरपालिका,Municipality,http://balwamun.gov.np,info@balwamun.gov.np,9803280142
मधेश प्रदेश,महोत्तरी,औरही नगरपालिका,Municipality,http://aurahimunmahottari.gov.np,aurahimunmahottari@gmail.com,9854031052
मधेश प्रदेश,महोत्तरी,भँगाहा नगरपालिका,Municipality,http://bhagahamun.gov.np,bhangahamun@gmail.com,9854032003
मधेश प्रदेश,महोत्तरी,मनरा सिसवा नगरपालिका,Municipality,http://manarashiswamun.gov.np,info@manarashiswamun.gov.np,9854033109
मधेश प्रदेश,महोत्तरी,रामगोपालपुर नगरपालिका,Municipality,htकोशी प्रदेश,ताप्लेजुङ,फुङलिङ नगरपालिका,Municipality,http://phunglingmun.gov.np,info@phunglingmun.gov.np,024-460114
कोशी प्रदेश,पाँचथर,फिदिम नगरपालिका,Municipality,http://phidimmun.gov.np,phidim.municipality@gmail.com,024-521107
कोशी प्रदेश,इलाम,ईलाम नगरपालिका,Municipality,http://ilammun.gov.np,info@ilammun.gov.np,"027-520031,027520097"
कोशी प्रदेश,इलाम,देउमाई नगरपालिका,Municipality,http://deumaimun.gov.np,info@deumaimun.gov.np,027-400001
कोशी प्रदेश,इलाम,माई नगरपालिका,Municipality,http://maimun.gov.np,mainagarpalika@gmail.com,027412222
कोशी प्रदेश,इलाम,सुर्योदय नगरपालिका,Municipality,http://suryodayamun.gov.np,info@suryodayamun.gov.np,027-540410
कोशी प्रदेश,झापा,अर्जुनधारा नगरपालिका,Municipality,http://arjundharamun.gov.np,info@arjundharamun.gov.np,"023-597002,"
कोशी प्रदेश,झापा,कन्काई नगरपालिका,Municipality,http://kankaimun.gov.np,kanakai.mun@gmail.com,023-401111
कोशी प्रदेश,झापा,गौरादह नगरपालिका,Municipality,http://gauradahamun.gov.np,info@gauradahamun.gov.np,023-597006
कोशी प्रदेश,झापा,दमक नगरपालिका,Municipality,http://damakmun.gov.np,info@damakmun.gov.np,023-580137
कोशी प्रदेश,झापा,विर्तामोड नगरपालिका,Municipality,http://birtamodmun.gov.np,info@birtamodmun.gov.np,023-540315
कोशी प्रदेश,झापा,भद्रपुर नगरपालिका,Municipality,http://bhadrapurmun.gov.np,info@bhadrapurmun.gov.np,023-520148
कोशी प्रदेश,झापा,मेचीनगर नगरपालिका,Municipality,http://mechinagarmun.gov.np,ito.mechinagarmun@gmail.com,023-562505
कोशी प्रदेश,झापा,शिवसताक्षी नगरपालिका,Municipality,http://shivasatakshimun.gov.np,dms.shivasatakshimun@gmail.com,023-470323
कोशी प्रदेश,संखुवासभा,मादी नगरपालिका,Municipality,http://madimun.gov.np,madimunicipality@gmail.com,029-424002
कोशी प्रदेश,संखुवासभा,पाँचखपन नगरपालिका,Municipality,http://panchkhapanmun.gov.np,info@panchkhapanmun.gov.np,029-411083
कोशी प्रदेश,संखुवासभा,धर्मदेवी नगरपालिका,Municipality,http://dharmadevimun.gov.np,dharmadevimun@gmail.com,029-414006
कोशी प्रदेश,संखुवासभा,खाँदवारी नगरपालिका,Municipality,http://khandbarimun.gov.np,info@khandbarimun.gov.np,029-560254
कोशी प्रदेश,तेह्रथुम,म्याङलुङ नगरपालिका,Municipality,http://myanglungmun.gov.np,info@myanglungmun.gov.np,026-460135
कोशी प्रदेश,तेह्रथुम,लालीगुराँस नtp://ramgopalpurmun.gov.np,info@ramgopalpurmun.gov.np,044410078
मधेश प्रदेश,महोत्तरी,लोहरपट्टी नगरपालिका,Municipality,http://loharpattimun.gov.np,loharpattimunicipality@gmail.com,9801631314
मधेश प्रदेश,महोत्तरी,बर्दिबास नगरपालिका,Municipality,http://bardibasmun.gov.np,bardibasmunicipality@gmail.com,9854055111
मधेश प्रदेश,महोत्तरी,जलेश्वर नगरपालिका,Municipality,http://jaleshwarmun.gov.np,jaleshwormun@gmail.com,9854031770
मधेश प्रदेश,सर्लाही,हरिवन नगरपालिका,Municipality,http://harionmun.gov.np,info@harionmun.gov.np,046-530499
मधेश प्रदेश,सर्लाही,हरिपुर्वा नगरपालिका,Municipality,http://haripurwamun.gov.np,ito.haripurwamun@gmail.com,9844112849
मधेश प्रदेश,सर्लाही,बरहथवा नगरपालिका,Municipality,http://barhathwamun.gov.np,barahathawamun@gmail.com,046-540310
मधेश प्रदेश,सर्लाही,लालबन्दी नगरपालिका,Municipality,http://lalbandimun.gov.np,info@lalbandimun.gov.np,046-501100
मधेश प्रदेश,सर्लाही,मलंगवा नगरपालिका,Municipality,http://malangwamun.gov.np,malangwanagarpalika@gmail.com,046-520175
मधेश प्रदेश,सर्लाही,गोडैटा नगरपालिका,Municipality,http://godaitamun.gov.np,info@godaitamun.gov.np,9854038382
मधेश प्रदेश,सर्लाही,ईश्वरपुर नगरपालिका,Municipality,http://ishworpurmun.gov.np,ishworpur2071@gmail.com,9854042111
मधेश प्रदेश,सर्लाही,हरिपुर नगरपालिका,Municipality,http://haripurmun.gov.np,info@haripurmun.gov.np,046-411032
मधेश प्रदेश,सर्लाही,बागमती नगरपालिका,Municipality,http://bagmatimunsarlahi.gov.np,bagmatimun@gmail.com,046-410008
मधेश प्रदेश,रौतहट,गढीमाई नगरपालिका,Municipality,http://gadhimaimun.gov.np,gadhimaimun@gmail.com,9865050201
मधेश प्रदेश,रौतहट,राजपुर नगरपालिका,Municipality,http://rajpurmunrautahat.gov.np,ito@rajpurmunrautahat.gov.np,९८५५०४४०२४
मधेश प्रदेश,रौतहट,कटहरीया नगरपालिका,Municipality,http://katahariyamun.gov.np,katahariyamun@gmail.com,9855067803
मधेश प्रदेश,रौतहट,ईशनाथ नगरपालिका,Municipality,http://ishnathmun.gov.np,info@ishnathmun.gov.np,9855040373
मधेश प्रदेश,रौतहट,गरुडा नगरपालिका,Municipality,http://garudamun.gov.np,itofficer.garudamun@gmail.com,055-565201
मधेश प्रदेश,रौतहट,गौर नगरपालिका,Municipality,http://gaurmun.gov.np,info@gaurmun.gov.np,055-520294
मधेश प्रदेश,रौतहट,मौलापुर नगरपालिका,Municipality,http://maulapurmun.gov.np,maulapurmun@gmail.com,9999999999
मधेश प्रदेश,रौतहट,राजदेवी नगरपालिका,Municipality,http://rajdevimun.gov.np,rajdevimata123@gmail.com,9855040127
मधेश प्रदेश,रौतहट,गुजरा नगरपालिका,Municipality,http://gujaramun.gov.np,info@gujaramun.gov.np,9845021100
मधेश प्रदेश,रौतहट,माधवनारायण नगरपालिका,Municipality,http://madhavnarayanmun.gov.np,info@madhavnarayanmun.gov.np,9855044025
मधेश प्रदेश,रौतहट,वृन्दावन नगरपालिका,Municipality,http://brindawanmun.gov.np,info@brindawanmun.gov.np,9855012027
